S. No.,Tehsil,Village
1,Kotma,Bachhauli
2,Kotma,Bagaiha Tola
3,Kotma,Bahera Bandh
4,Kotma,Baiha Tola
5,Kotma,Bargawan
6,Kotma,Baskhala
7,Kotma,Baskhali
8,Kotma,Belgaon
9,Kotma,Beliya Chhot
10,Kotma,Benibahara
11,Kotma,Bhalmudi
12,Kotma,Bhathadand
13,Kotma,Bhuila
14,Kotma,Bicharpur
15,Kotma,Budhanpur
16,Kotma,Chaka
17,Kotma,Chandrauthi
18,Kotma,Changeri
19,Kotma,Chhatai
20,Kotma,Chhulha
21,Kotma,Dhawai Tola
22,Kotma,Dhumkahai
23,Kotma,Dogara Tola
24,Kotma,Dogariya Kalan
25,Kotma,Dogariya Khurd
26,Kotma,Dulhi Bandh
27,Kotma,Gadhi
28,Kotma,Ghochimuda
29,Kotma,Godaroo
30,Kotma,Gohandra
31,Kotma,Gulidand
32,Kotma,Harri
33,Kotma,Jalsar
34,Kotma,Jharokha
35,Kotma,Kamran Tola
36,Kotma,Kanai Tola
37,Kotma,Katkona
38,Kotma,Keshori
39,Kotma,Khamraudh
40,Kotma,Korya
41,Kotma,Kothi
42,Kotma,Kudri
43,Kotma,Kyontar
44,Kotma,Lalpur
45,Kotma,Majhauli
46,Kotma,Majhtoliya
47,Kotma,Manmari
48,Kotma,Mauhari
49,Kotma,Mentola
50,Kotma,Nagarabandh
51,Kotma,Nawatola
52,Kotma,Nigwani
53,Kotma,Nimha
54,Kotma,Pachkhura
55,Kotma,Pairichuwa
56,Kotma,Pakriha
57,Kotma,Pathraudi
58,Kotma,Pipariya
59,Kotma,Reusa
60,Kotma,Saja Tola
61,Kotma,Saranggarh
62,Kotma,Saristal
63,Kotma,Silpur
64,Kotma,Tarsili
65,Kotma,Thangaon
66,Kotma,Thodaha
67,Kotma,Umarda
68,Kotma,Urtan
69,Jaithari,madand
70,Jaithari,mgawan
71,Jaithari,njani
72,Jaithari,aihar
73,Jaithari,albahra
74,Jaithari,anka
75,Jaithari,eed
76,Jaithari,ehnadawar
77,Jaithari,haina Dongri
78,Jaithari,Bhelma
79,Jaithari,Chandpur
80,Jaithari,Chhata Patpar
81,Jaithari,Chhirpani
82,Jaithari,Choi
83,Jaithari,Cholna
84,Jaithari,Chor Bhathi
85,Jaithari,Daladeeh
86,Jaithari,Dodhipani
87,Jaithari,Gaurela
88,Jaithari,Gobri
89,Jaithari,Godhan
90,Jaithari,Gorsi
91,Jaithari,Guwari
92,Jaithari,Jangwa
93,Jaithari,Jariyari
94,Jaithari,Jhaital
95,Jaithari,Kadamsara
96,Jaithari,Kalyanpur
97,Jaithari,Kapariya
98,Jaithari,Keyotar
99,Jaithari,Khairi
100,Jaithari,Khalbahra
101,Jaithari,Khodari
102,Jaithari,Kholadi
103,Jaithari,Kholaiya
104,Jaithari,Khoonta Tola
105,Jaithari,Khursa
106,Jaithari,Kukar Goda
107,Jaithari,Kusmahai
108,Jaithari,Laharpur
109,Jaithari,Lahsuna
110,Jaithari,Lapta
111,Jaithari,Mahuda
112,Jaithari,Manaura
113,Jaithari,Manikpur
114,Jaithari,Mauhari
115,Jaithari,Munda
116,Jaithari,Nigaura
117,Jaithari,Padari
118,Jaithari,Padariya
119,Jaithari,Padripani
120,Jaithari,Pagna
121,Jaithari,Papraudi
122,Jaithari,Patan
123,Jaithari,Pcooha
124,Jaithari,Pondi
125,Jaithari,Rohila Kachhar
126,Jaithari,Semarwar
127,Jaithari,Sidhaura
128,Jaithari,Siwni
129,Jaithari,Sulkhari
130,Jaithari,Takduli
131,Jaithari,Thehi
132,Jaithari,Umariya
133,Jaithari,Vynkatnagar
134,Pushparajgarh,chalpur
135,Pushparajgarh,dawar
136,Pushparajgarh,hirgawan
137,Pushparajgarh,lhawar
138,Pushparajgarh,mauda
139,Pushparajgarh,mdari
140,Pushparajgarh,mgawan
141,Pushparajgarh,ndhiyar Khoh
142,Pushparajgarh,ntariya
143,Pushparajgarh,Badhamar
144,Pushparajgarh,Badhar
145,Pushparajgarh,Baghad
146,Pushparajgarh,Baghadi
147,Pushparajgarh,Bagharra
148,Pushparajgarh,Baghni Bhawar
149,Pushparajgarh,Bahpur
150,Pushparajgarh,Bahpuri
151,Pushparajgarh,Baidara
152,Pushparajgarh,Bairagi
153,Pushparajgarh,Bakan
154,Pushparajgarh,Bamhani
155,Pushparajgarh,Baranjh
156,Pushparajgarh,Barbaspur
157,Pushparajgarh,Barsot
158,Pushparajgarh,Bartola
159,Pushparajgarh,Basahi
160,Pushparajgarh,Basaniha
161,Pushparajgarh,Basantpur
162,Pushparajgarh,Batki
163,Pushparajgarh,Beldongri
164,Pushparajgarh,Belgawan
165,Pushparajgarh,Belha
166,Pushparajgarh,Bendi
167,Pushparajgarh,Benibari
168,Pushparajgarh,Bhalu Chuwa
169,Pushparajgarh,Bhalwar
170,Pushparajgarh,Bhamarha
171,Pushparajgarh,Bhamariya
172,Pushparajgarh,Bharni
173,Pushparajgarh,Bhejari
174,Pushparajgarh,Bhimkundi
175,Pushparajgarh,Bhundakona
176,Pushparajgarh,Bicharpur
177,Pushparajgarh,Bijapuri
178,Pushparajgarh,Bijaura
179,Pushparajgarh,Bijauri
180,Pushparajgarh,Bilai Kher
181,Pushparajgarh,Bilaspur
